Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12000,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,0,36,24,0,0,0
12001,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,30,66,24,0,0,0
12002,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,60,96,24,0,0,0
12003,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,90,126,24,0,0,0
12004,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,120,156,24,0,0,0
12005,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,150,186,24,0,0,0
12006,K1-M2 Tidal Lag,7.5,12.4,0.056,0,90,23.9,0.022,178,214,24,0,0,0
12007,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,0,312
12008,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,30,342
12009,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,60,12
12010,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,90,42
12011,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,120,72
12012,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,150,102
12013,M2-Wind Lag-Severe,7.5,12.4,0.056,0,90,23.9,0,0,0,24,6,174,126
12014,M2-Wind Lag-Mild,7.5,12.4,0.056,0,90,23.9,0,0,0,24,3,0,312
12015,M2-Wind Lag-Mild,7.5,12.4,0.056,0,90,23.9,0,0,0,24,3,30,342
12016,M2-Wind Lag-Mild,7.5,12.4,0.056,0,90,23.9,0,0,0,24,3,60,12
