Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
6/1/2018,5:00,1.387,-,1.416
6/1/2018,6:00,1.539,-,1.593
6/1/2018,7:00,1.593,-,1.638
6/1/2018,8:00,1.518,-,1.568
6/1/2018,9:00,1.312,-,1.342
6/1/2018,10:00,1.001,-,1.019
6/1/2018,11:00,0.637,-,0.66
6/1/2018,12:00,0.284,-,0.309
6/1/2018,13:00,0.009,-,0.058
6/1/2018,14:00,-0.14,-,-0.101
6/1/2018,15:00,-0.139,-,-0.092
6/1/2018,16:00,0.002,-,0.057
6/1/2018,17:00,0.244,-,0.275
6/1/2018,18:00,0.527,-,0.563
6/1/2018,19:00,0.79,-,0.828
6/1/2018,20:00,0.985,-,1.039
6/1/2018,21:00,1.087,-,1.117
6/1/2018,22:00,1.097,-,1.103
6/1/2018,23:00,1.041,-,1.068
6/2/2018,0:00,0.957,-,0.978
6/2/2018,1:00,0.892,-,0.913
6/2/2018,2:00,0.882,-,0.9
6/2/2018,3:00,0.945,-,0.979
6/2/2018,4:00,1.076,-,1.113
6/2/2018,5:00,1.243,-,1.282
6/2/2018,6:00,1.402,-,1.44
6/2/2018,7:00,1.502,-,1.548
6/2/2018,8:00,1.505,-,1.53
6/2/2018,9:00,1.389,-,1.417
6/2/2018,10:00,1.162,-,1.184
6/2/2018,11:00,0.853,-,0.871
6/2/2018,12:00,0.514,-,0.535
6/2/2018,13:00,0.206,-,0.237
6/2/2018,14:00,-0.015,-,0.023
6/2/2018,15:00,-0.108,-,-0.069
6/2/2018,16:00,-0.062,-,-0.008
6/2/2018,17:00,0.104,-,0.153
6/2/2018,18:00,0.348,-,0.382
6/2/2018,19:00,0.614,-,0.659
6/2/2018,20:00,0.85,-,0.906
6/2/2018,21:00,1.017,-,1.071
6/2/2018,22:00,1.098,-,1.139
6/2/2018,23:00,1.097,-,1.112
6/3/2018,0:00,1.042,-,1.074
6/3/2018,1:00,0.969,-,1.021
6/3/2018,2:00,0.92,-,0.973
6/3/2018,3:00,0.923,-,0.977
6/3/2018,4:00,0.99,-,1.066
6/3/2018,5:00,1.109,-,1.171
6/3/2018,6:00,1.248,-,1.318
6/3/2018,7:00,1.367,-,1.429
6/3/2018,8:00,1.425,-,1.497
6/3/2018,9:00,1.393,-,1.452
6/3/2018,10:00,1.257,-,1.307
6/3/2018,11:00,1.027,-,1.066
6/3/2018,12:00,0.736,-,0.785
6/3/2018,13:00,0.431,-,0.49
6/3/2018,14:00,0.17,-,0.252
6/3/2018,15:00,-0.001,-,0.084
6/3/2018,16:00,-0.049,-,0.034
6/3/2018,17:00,0.027,-,0.129
6/3/2018,18:00,0.206,-,0.285
6/3/2018,19:00,0.445,-,0.522
6/3/2018,20:00,0.694,-,0.775
6/3/2018,21:00,0.909,-,0.979
6/3/2018,22:00,1.055,-,1.128
6/3/2018,23:00,1.12,-,1.168
6/4/2018,0:00,1.111,-,1.152
6/4/2018,1:00,1.054,-,1.105
6/4/2018,2:00,0.984,-,1.032
6/4/2018,3:00,0.939,-,1.006
6/4/2018,4:00,0.941,-,1.015
6/4/2018,5:00,0.998,-,1.065
6/4/2018,6:00,1.095,-,1.179
6/4/2018,7:00,1.205,-,1.288
6/4/2018,8:00,1.292,-,1.375
6/4/2018,9:00,1.324,-,1.408
6/4/2018,10:00,1.275,-,1.36
6/4/2018,11:00,1.136,-,1.206
6/4/2018,12:00,0.919,-,0.991
6/4/2018,13:00,0.654,-,0.739
6/4/2018,14:00,0.387,-,0.49
6/4/2018,15:00,0.168,-,0.25
6/4/2018,16:00,0.039,-,0.121
6/4/2018,17:00,0.024,-,0.118
6/4/2018,18:00,0.121,-,0.221
6/4/2018,19:00,0.307,-,0.404
6/4/2018,20:00,0.541,-,0.637
6/4/2018,21:00,0.779,-,0.857
6/4/2018,22:00,0.979,-,1.037
6/4/2018,23:00,1.109,-,1.172
6/5/2018,0:00,1.159,-,1.205
6/5/2018,1:00,1.137,-,1.177
6/5/2018,2:00,1.07,-,1.106
6/5/2018,3:00,0.991,-,1.055
6/5/2018,4:00,0.935,-,0.998
6/5/2018,5:00,0.922,-,0.987
6/5/2018,6:00,0.959,-,1.024
6/5/2018,7:00,1.033,-,1.096
6/5/2018,8:00,1.121,-,1.196
6/5/2018,9:00,1.192,-,1.276
6/5/2018,10:00,1.216,-,1.306
6/5/2018,11:00,1.168,-,1.259
6/5/2018,12:00,1.04,-,1.112
6/5/2018,13:00,0.843,-,0.923
6/5/2018,14:00,0.607,-,0.668
6/5/2018,15:00,0.374,-,0.423
6/5/2018,16:00,0.191,-,0.282
6/5/2018,17:00,0.094,-,0.183
6/5/2018,18:00,0.104,-,0.185
6/5/2018,19:00,0.218,-,0.306
