year,dayofyear,hourmin,ws,wd
2017,151,2300,3.237,265.2
2017,151,2310,2.819,261
2017,151,2320,2.177,278.2
2017,151,2330,1.679,273.6
2017,151,2340,0.742,290.4
2017,151,2350,0.775,310.1
2017,152,0,1.896,317.8
2017,152,10,2.626,301.4
2017,152,20,3.043,293.2
2017,152,30,2.212,287.8
2017,152,40,2.041,293.4
2017,152,50,2.833,286.4
2017,152,100,2.342,280.3
2017,152,110,1.839,256.1
2017,152,120,1.662,221.2
2017,152,130,1.445,219.5
2017,152,140,0.688,244.5
2017,152,150,0.767,233.1
2017,152,200,1.261,272.5
2017,152,210,1.291,281.2
2017,152,220,1.09,280.1
2017,152,230,0.951,221.7
2017,152,240,0.88,273
2017,152,250,1.465,265.7
2017,152,300,1.413,251.2
2017,152,310,1.155,263.4
2017,152,320,1.575,309.1
2017,152,330,1.912,303.3
2017,152,340,1.788,309.7
2017,152,350,1.861,306.8
2017,152,400,0.731,282.3
2017,152,410,0.075,246.2
2017,152,420,0.17,354.3
2017,152,430,0.292,28.67
2017,152,440,0.729,339
2017,152,450,0.401,326.2
2017,152,500,0.593,349.3
2017,152,510,0.541,13.73
2017,152,520,0.811,42.16
2017,152,530,1.013,79.8
2017,152,540,1.015,81.3
2017,152,550,1.13,80
2017,152,600,0.978,81.3
2017,152,610,0.526,113.7
2017,152,620,0.817,130.8
2017,152,630,0.658,122
2017,152,640,0.987,81.4
2017,152,650,0.898,51.32
2017,152,700,1.139,62.62
2017,152,710,1.067,48.08
2017,152,720,1.001,73.2
2017,152,730,1.022,46.65
2017,152,740,0.653,31.34
2017,152,750,0.628,23.02
2017,152,800,0.991,9.95
2017,152,810,0.68,3.801
2017,152,820,0.911,345.6
2017,152,830,1.019,342.8
2017,152,840,0.62,320.2
2017,152,850,0.969,316
2017,152,900,1.346,301.9
2017,152,910,2.072,324.6
2017,152,920,2.795,339.6
2017,152,930,4.206,342
2017,152,940,4.374,344.2
2017,152,950,3.944,339.7
2017,152,1000,4.346,336.9
2017,152,1010,4.176,332.3
2017,152,1020,3.792,333.4
2017,152,1030,4.317,335.4
2017,152,1040,3.273,331
2017,152,1050,3.398,339.6
2017,152,1100,3.994,332.7
2017,152,1110,4.532,315
2017,152,1120,4.081,307.8
2017,152,1130,4.299,299.5
2017,152,1140,4.699,290.9
2017,152,1150,4.938,284.8
2017,152,1200,5.854,281.6
2017,152,1210,5.776,277.9
2017,152,1220,4.88,278
2017,152,1230,4.28,285.1
2017,152,1240,4.626,282.7
2017,152,1250,4.917,276.6
2017,152,1300,4.737,273
2017,152,1310,5.58,270
2017,152,1320,5.266,266.5
2017,152,1330,5.128,263.9
2017,152,1340,5.166,272.1
2017,152,1350,5.949,268.2
2017,152,1400,6.177,265.5
2017,152,1410,5.364,265.2
2017,152,1420,5.369,271.3
2017,152,1430,5.214,276.5
2017,152,1440,5.392,269.7
2017,152,1450,4.814,272.6
2017,152,1500,5.516,275.3
2017,152,1510,4.614,275
2017,152,1520,4.459,277.3
2017,152,1530,3.917,277.5
2017,152,1540,4.409,278
2017,152,1550,4.412,250.5
2017,152,1600,3.272,265.2
2017,152,1610,5.068,267.7
2017,152,1620,5.881,268.3
2017,152,1630,6.127,275.9
2017,152,1640,5.045,278
2017,152,1650,4.812,270.9
2017,152,1700,4.882,264.2
2017,152,1710,6.007,281.8
2017,152,1720,6.263,267.8
2017,152,1730,5.723,268.3
2017,152,1740,4.965,269.2
2017,152,1750,4.089,264.6
2017,152,1800,4.485,270.1
2017,152,1810,4.641,255.4
2017,152,1820,4.676,262.8
2017,152,1830,4.666,244.6
2017,152,1840,4.391,260.9
2017,152,1850,4.266,247.7
2017,152,1900,2.992,220.3
2017,152,1910,3.528,218.9
2017,152,1920,2.949,240.5
2017,152,1930,4.124,238.6
2017,152,1940,4.306,224.9
2017,152,1950,3.768,240.8
2017,152,2000,3.932,246.8
2017,152,2010,2.69,279.1
2017,152,2020,2.702,295.8
2017,152,2030,2.267,300.3
2017,152,2040,2.086,302.1
2017,152,2050,3.031,304.2
2017,152,2100,2.992,291.9
2017,152,2110,2.095,281.1
2017,152,2120,1.925,264.8
2017,152,2130,1.979,281.6
2017,152,2140,2.228,283
2017,152,2150,1.972,258
2017,152,2200,1.639,257.4
2017,152,2210,1.488,218.2
2017,152,2220,1.284,232.5
2017,152,2230,1.188,232.2
2017,152,2240,1.996,248.5
2017,152,2250,2.732,268.4
2017,152,2300,1.399,236
2017,152,2310,1.353,204
2017,152,2320,2.019,248.2
2017,152,2330,2.62,267.2
2017,152,2340,2.627,282.2
2017,152,2350,2.52,279.4
2017,153,0,1.652,273.2
2017,153,10,1.912,256.8
2017,153,20,2.274,258.8
2017,153,30,2.607,273.5
2017,153,40,2.65,272.8
2017,153,50,3.139,272.7
2017,153,100,2.89,276.5
2017,153,110,3.15,278
2017,153,120,3.314,278.5
2017,153,130,3.304,272.3
2017,153,140,2.823,272.5
2017,153,150,2.782,274
2017,153,200,2.679,268.1
2017,153,210,2.72,263.8
2017,153,220,2.581,260.1
